Consecutivo,Ticket,Asunto,FechaSolicitud,EstadoAtencion,FechaAtencion,FechaCierre
1,DL-0013238,Se reporta que DL-0013238 desde el lunes no se ha logrado hacer algo que realmente arregle la situación.,01/01/2026,Cerrado,13/01/2026,24/01/2026
1,DL-0013239,Se reporta que DL-0013239 desde el viernes no se ha logrado hacer algo  que mejore el rendimiento.,01/01/2026,Abierto,,
1,DL-0013240,Se reporta que DL-0013240 desde el miércoles no se ha logrado hacer algo  funcional y  útil.,01/01/2026,Cerrado,13/01/2026,25/01/2026
1,DL-0013241,Se reporta que DL-0013241 desde el lunes no se ha logrado hacer algo  para solucionar el problema.,01/01/2026,Atendido,15/01/2026,
1,DL-0013242,Se reporta que DL-0013242 desde el sábado no se ha logrado hacer algo  que mejore el rendimiento.,01/01/2026,Escalado,15/01/2026,
1,DL-0013243,Se reporta que DL-0013243 desde el miércoles no se ha logrado hacer algo  funcional y  útil.,01/01/2026,Abierto,,
1,DL-0013244,Se reporta que DL-0013244 desde el lunes no se ha logrado hacer algo que realmente arregle la situación.,01/01/2026,Cerrado,02/01/2026,08/01/2026
1,DL-0013245,Se reporta que DL-0013245 desde el lunes no se ha logrado hacer algo  que mejore el rendimiento.,01/01/2026,Cerrado,10/01/2026,14/01/2026
1,DL-0013246,Se reporta que DL-0013246 desde el martes no se ha logrado hacer algo al respecto.,01/01/2026,Atendido,03/01/2026,
1,DL-0013247,Se reporta que DL-0013247 desde el lunes no se ha logrado hacer algo que realmente arregle la situación.,01/01/2026,En Atención,15/01/2026,
1,DL-0013248,Se reporta que DL-0013248 desde el martes no se ha logrado hacer algo  funcional y  útil.,01/01/2026,Escalado,11/01/2026,
1,DL-0013249,Se reporta que DL-0013249 desde el jueves no se ha logrado hacer algo  que mejore el rendimiento.,01/01/2026,Cerrado,14/01/2026,19/01/2026
1,DL-0013250,Se reporta que DL-0013250 desde el jueves no se ha logrado hacer algo que realmente arregle la situación.,01/01/2026,Escalado,10/01/2026,
1,DL-0013251,Se reporta que DL-0013251 desde el jueves no se ha logrado hacer algo al respecto.,01/01/2026,Atendido,05/01/2026,
1,DL-0013252,Se reporta que DL-0013252 desde el miércoles no se ha logrado hacer algo  para solucionar el problema.,01/01/2026,Cerrado,11/01/2026,19/01/2026
1,DL-0013253,Se reporta que DL-0013253 desde el viernes no se ha logrado hacer algo al respecto.,01/01/2026,Atendido,09/01/2026,
1,DL-0013254,Se reporta que DL-0013254 desde el sábado no se ha logrado hacer algo  para solucionar el problema.,01/01/2026,Cerrado,10/01/2026,15/01/2026
1,DL-0013255,Se reporta que DL-0013255 desde el lunes no se ha logrado hacer algo al respecto.,01/01/2026,Cerrado,12/01/2026,25/01/2026
1,DL-0013256,Se reporta que DL-0013256 desde el viernes no se ha logrado hacer algo que realmente arregle la situación.,01/01/2026,Escalado,11/01/2026,
1,DL-0013257,Se reporta que DL-0013257 desde el jueves no se ha logrado hacer algo  funcional y  útil.,01/01/2026,Abierto,,
1,DL-0013258,Se reporta que DL-0013258 desde el martes no se ha logrado hacer algo  funcional y  útil.,01/01/2026,Atendido,06/01/2026,
1,DL-0013259,Se reporta que DL-0013259 desde el domingo no se ha logrado hacer algo  funcional y  útil.,01/01/2026,Atendido,10/01/2026,
1,DL-0013260,Se reporta que DL-0013260 desde el martes no se ha logrado hacer algo  funcional y  útil.,01/01/2026,Escalado,03/01/2026,
1,DL-0013261,Se reporta que DL-0013261 desde el miércoles no se ha logrado hacer algo que realmente arregle la situación.,01/01/2026,Abierto,,
1,DL-0013262,Se reporta que DL-0013262 desde el sábado no se ha logrado hacer algo  funcional y  útil.,01/01/2026,En Atención,04/01/2026,
1,DL-0013263,Se reporta que DL-0013263 desde el viernes no se ha logrado hacer algo  funcional y  útil.,01/01/2026,Abierto,,
1,DL-0013264,Se reporta que DL-0013264 desde el domingo no se ha logrado hacer algo que realmente arregle la situación.,01/01/2026,Atendido,10/01/2026,
1,DL-0013265,Se reporta que DL-0013265 desde el sábado no se ha logrado hacer algo que realmente arregle la situación.,01/01/2026,Abierto,,
1,DL-0013266,Se reporta que DL-0013266 desde el viernes no se ha logrado hacer algo  funcional y  útil.,01/01/2026,En Atención,04/01/2026,
1,DL-0013267,Se reporta que DL-0013267 desde el lunes no se ha logrado hacer algo  funcional y  útil.,01/01/2026,En Atención,06/01/2026,
1,DL-0013268,Se reporta que DL-0013268 desde el viernes no se ha logrado hacer algo que realmente arregle la situación.,01/01/2026,Abierto,,
1,DL-0013269,Se reporta que DL-0013269 desde el martes no se ha logrado hacer algo al respecto.,01/01/2026,Abierto,,
1,DL-0013270,Se reporta que DL-0013270 desde el sábado no se ha logrado hacer algo que realmente arregle la situación.,01/01/2026,En Atención,11/01/2026,
1,DL-0013271,Se reporta que DL-0013271 desde el martes no se ha logrado hacer algo  funcional y  útil.,01/01/2026,Escalado,12/01/2026,
